,RT,SI,DI,SP,DP,duration
0,0.0,192.168.56.102,192.168.56.104,57102,80,51.482093613
1,5.627187171,192.168.56.102,192.168.56.104,54980,80,51.456096271999996
2,20.041441324,192.168.56.102,192.168.56.104,1494,80,0.0011857999999982383
3,20.044466639,192.168.56.102,192.168.56.104,1495,80,0.0007140489999990507
4,20.047838439,192.168.56.102,192.168.56.104,1496,80,0.0016766560000007757
5,20.050710539,192.168.56.102,192.168.56.104,1497,80,0.0009722729999985802
6,20.053843226,192.168.56.102,192.168.56.104,1498,80,0.001182353999997332
7,20.056931486,192.168.56.102,192.168.56.104,1499,80,0.001604340000000093
8,20.060488154,192.168.56.102,192.168.56.104,1500,80,0.0007671849999972835
9,20.062968496,192.168.56.102,192.168.56.104,1501,80,0.0010471279999997307
10,20.065431907,192.168.56.102,192.168.56.104,1502,80,0.0011312560000007466
11,20.068500022,192.168.56.102,192.168.56.104,1503,80,0.0010866870000008078
12,20.070945914,192.168.56.102,192.168.56.104,1504,80,0.0010825610000004815
13,20.073661469,192.168.56.102,192.168.56.104,1505,80,0.0010847880000000032
14,20.07599085,192.168.56.102,192.168.56.104,1506,80,0.0015797259999992264
15,20.078229888,192.168.56.102,192.168.56.104,1507,80,0.0009493660000003956
16,20.081666326,192.168.56.102,192.168.56.104,1508,80,0.0009594249999977933
17,20.084681362,192.168.56.102,192.168.56.104,1509,80,0.001475422999998699
18,20.086914717,192.168.56.102,192.168.56.104,1510,80,0.0006844960000016442
19,20.091322451,192.168.56.102,192.168.56.104,1511,80,0.0017241309999995735
20,20.092652693,192.168.56.102,192.168.56.104,1512,80,0.0011704799999989746
21,20.09517306,192.168.56.102,192.168.56.104,1513,80,0.0012151279999983444
22,20.097793288,192.168.56.102,192.168.56.104,1514,80,0.0011167480000011665
23,20.100845365,192.168.56.102,192.168.56.104,1515,80,0.0009847249999985763
24,20.103358632,192.168.56.102,192.168.56.104,1516,80,0.0018183140000012088
25,20.106275775,192.168.56.102,192.168.56.104,1517,80,0.0012384049999987212
26,20.109391495,192.168.56.102,192.168.56.104,1518,80,0.0007736590000000376
27,20.113107228,192.168.56.102,192.168.56.104,1519,80,0.000984374999998039
28,20.115962446,192.168.56.102,192.168.56.104,1520,80,0.002779628999999062
29,20.118149911,192.168.56.102,192.168.56.104,1521,80,0.0087447119999986
30,20.128413048,192.168.56.102,192.168.56.104,1522,80,0.0028591760000011845
31,20.131381927,192.168.56.102,192.168.56.104,1523,80,0.0017211010000011129
32,20.13431715,192.168.56.102,192.168.56.104,1524,80,0.0008567789999993636
33,20.137269178,192.168.56.102,192.168.56.104,1525,80,0.0011019159999996475
34,20.139720078,192.168.56.102,192.168.56.104,1526,80,0.0016827560000010067
35,20.142861602,192.168.56.102,192.168.56.104,1527,80,0.0011449500000004775
36,20.145913905,192.168.56.102,192.168.56.104,1528,80,0.0010582210000009695
37,20.150154223,192.168.56.102,192.168.56.104,1529,80,0.0011699269999994044
38,20.150311432,192.168.56.102,192.168.56.104,1530,80,0.0011254790000023718
39,20.153014987,192.168.56.102,192.168.56.104,1531,80,0.0009193310000021881
40,20.156121408,192.168.56.102,192.168.56.104,1532,80,0.001340413999997736
41,20.159929966,192.168.56.102,192.168.56.104,1533,80,0.001043845000001653
42,20.163448114,192.168.56.102,192.168.56.104,1534,80,0.0014133479999998144
43,20.16611417,192.168.56.102,192.168.56.104,1535,80,0.013311795999999987
44,20.17705376,192.168.56.102,192.168.56.104,1536,80,0.015125224000001936
45,20.178328213,192.168.56.102,192.168.56.104,1537,80,0.013853872999998629
46,20.18380693,192.168.56.102,192.168.56.104,1538,80,0.008376015999999709
47,20.191531458,192.168.56.102,192.168.56.104,1539,80,0.01252598299999974
48,20.194500226,192.168.56.102,192.168.56.104,1540,80,0.015003703000001423
49,20.203107729,192.168.56.102,192.168.56.104,1541,80,0.03760174199999966
50,20.208720203,192.168.56.102,192.168.56.104,1542,80,0.03199460200000104
51,20.211678784,192.168.56.102,192.168.56.104,1543,80,0.029036556000001212
52,20.215759377,192.168.56.102,192.168.56.104,1544,80,0.024956736000000035
53,20.219385101,192.168.56.102,192.168.56.104,1545,80,0.021331536999998235
54,20.227156684,192.168.56.102,192.168.56.104,1546,80,0.013560722000001135
55,20.233322653,192.168.56.102,192.168.56.104,1547,80,0.007395230000000197
56,20.239286772,192.168.56.102,192.168.56.104,1548,80,0.02355689000000183
57,20.246688614,192.168.56.102,192.168.56.104,1549,80,0.022388653000000147
58,20.252605817,192.168.56.102,192.168.56.104,1550,80,0.01750662000000247
59,20.261908206,192.168.56.102,192.168.56.104,1551,80,0.027889775999998534
60,20.275604218,192.168.56.102,192.168.56.104,1552,80,0.01583886399999912
61,20.278893081,192.168.56.102,192.168.56.104,1553,80,0.013120137000001364
62,20.284069531,192.168.56.102,192.168.56.104,1554,80,0.00873823499999915
63,20.290744729,192.168.56.102,192.168.56.104,1555,80,0.01365278000000103
64,20.296258312,192.168.56.102,192.168.56.104,1556,80,0.01233539700000108
65,20.303300073,192.168.56.102,192.168.56.104,1557,80,0.012121459999999473
66,20.307913832,192.168.56.102,192.168.56.104,1558,80,0.0076480659999980105
67,20.312089587,192.168.56.102,192.168.56.104,1559,80,0.003531251000001845
68,20.314787881,192.168.56.102,192.168.56.104,1560,80,0.002428764999997668
69,20.319301925,192.168.56.102,192.168.56.104,1561,80,0.001832818999996988
70,20.320045178,192.168.56.102,192.168.56.104,1562,80,0.0017191549999999722
71,20.322288415,192.168.56.102,192.168.56.104,1563,80,0.0013378080000023829
72,20.324801658,192.168.56.102,192.168.56.104,1564,80,0.0008174600000003807
73,20.330747929,192.168.56.102,192.168.56.104,1565,80,0.00920020399999899
74,20.33626154,192.168.56.102,192.168.56.104,1566,80,0.0036888539999999637
75,20.339337862,192.168.56.102,192.168.56.104,1567,80,0.013293039000000562
76,20.351380358,192.168.56.102,192.168.56.104,1568,80,0.019840413000000723
77,20.358851245,192.168.56.102,192.168.56.104,1569,80,0.013157794999997918
78,20.373979797,192.168.56.102,192.168.56.104,1570,80,0.014422053000000545
79,20.378147528,192.168.56.102,192.168.56.104,1571,80,0.02100942599999911
80,20.394788186,192.168.56.102,192.168.56.104,1572,80,0.025620310000000757
81,20.395472791,192.168.56.102,192.168.56.104,1573,80,0.024943924999998757
82,20.416727597,192.168.56.102,192.168.56.104,1574,80,0.018079690999996956
83,20.423816845,192.168.56.102,192.168.56.104,1575,80,0.011726000999999542
84,20.42729784,192.168.56.102,192.168.56.104,1576,80,0.012034397999997282
85,20.438556318,192.168.56.102,192.168.56.104,1577,80,0.01741339100000161
86,20.445966676,192.168.56.102,192.168.56.104,1578,80,0.010592686999999046
87,20.446937635,192.168.56.102,192.168.56.104,1579,80,0.010334809999999806
88,20.453347148,192.168.56.102,192.168.56.104,1580,80,0.0069215810000002875
89,20.463401328,192.168.56.102,192.168.56.104,1581,80,0.019932450999998963
90,20.466648185,192.168.56.102,192.168.56.104,1582,80,0.017745961999999338
91,20.474185202,192.168.56.102,192.168.56.104,1583,80,0.01374258399999917
92,20.479316015,192.168.56.102,192.168.56.104,1584,80,0.009284353000001744
93,20.482184883,192.168.56.102,192.168.56.104,1585,80,0.024390769000000034
