20.042627124	192.168.56.102	192.168.56.104	1494	80
20.045180688	192.168.56.102	192.168.56.104	1495	80
20.049515095	192.168.56.102	192.168.56.104	1496	80
20.051682812	192.168.56.102	192.168.56.104	1497	80
20.055025580	192.168.56.102	192.168.56.104	1498	80
20.058535826	192.168.56.102	192.168.56.104	1499	80
20.061255339	192.168.56.102	192.168.56.104	1500	80
20.064015624	192.168.56.102	192.168.56.104	1501	80
20.066563163	192.168.56.102	192.168.56.104	1502	80
20.069586709	192.168.56.102	192.168.56.104	1503	80
20.072028475	192.168.56.102	192.168.56.104	1504	80
20.074746257	192.168.56.102	192.168.56.104	1505	80
20.077570576	192.168.56.102	192.168.56.104	1506	80
20.079179254	192.168.56.102	192.168.56.104	1507	80
20.082625751	192.168.56.102	192.168.56.104	1508	80
20.086156785	192.168.56.102	192.168.56.104	1509	80
20.087599213	192.168.56.102	192.168.56.104	1510	80
20.093046582	192.168.56.102	192.168.56.104	1511	80
20.093823173	192.168.56.102	192.168.56.104	1512	80
20.096388188	192.168.56.102	192.168.56.104	1513	80
20.098910036	192.168.56.102	192.168.56.104	1514	80
20.101830090	192.168.56.102	192.168.56.104	1515	80
20.105176946	192.168.56.102	192.168.56.104	1516	80
20.107514180	192.168.56.102	192.168.56.104	1517	80
20.110165154	192.168.56.102	192.168.56.104	1518	80
20.114091603	192.168.56.102	192.168.56.104	1519	80
20.118742075	192.168.56.102	192.168.56.104	1520	80
20.126894623	192.168.56.102	192.168.56.104	1521	80
20.131272224	192.168.56.102	192.168.56.104	1522	80
20.133103028	192.168.56.102	192.168.56.104	1523	80
20.135173929	192.168.56.102	192.168.56.104	1524	80
20.138371094	192.168.56.102	192.168.56.104	1525	80
20.141402834	192.168.56.102	192.168.56.104	1526	80
20.144006552	192.168.56.102	192.168.56.104	1527	80
20.146972126	192.168.56.102	192.168.56.104	1528	80
20.151324150	192.168.56.102	192.168.56.104	1529	80
20.151436911	192.168.56.102	192.168.56.104	1530	80
20.153934318	192.168.56.102	192.168.56.104	1531	80
20.157461822	192.168.56.102	192.168.56.104	1532	80
20.160973811	192.168.56.102	192.168.56.104	1533	80
20.164861462	192.168.56.102	192.168.56.104	1534	80
20.179425966	192.168.56.102	192.168.56.104	1535	80
20.192178984	192.168.56.102	192.168.56.104	1536	80
20.192182086	192.168.56.102	192.168.56.104	1537	80
20.192182946	192.168.56.102	192.168.56.104	1538	80
20.204057441	192.168.56.102	192.168.56.104	1539	80
20.209503929	192.168.56.102	192.168.56.104	1540	80
20.240709471	192.168.56.102	192.168.56.104	1541	80
20.240714805	192.168.56.102	192.168.56.104	1542	80
20.240715340	192.168.56.102	192.168.56.104	1543	80
20.240716113	192.168.56.102	192.168.56.104	1544	80
20.240716638	192.168.56.102	192.168.56.104	1545	80
20.240717406	192.168.56.102	192.168.56.104	1546	80
20.240717883	192.168.56.102	192.168.56.104	1547	80
20.262843662	192.168.56.102	192.168.56.104	1548	80
20.269077267	192.168.56.102	192.168.56.104	1549	80
20.270112437	192.168.56.102	192.168.56.104	1550	80
20.289797982	192.168.56.102	192.168.56.104	1551	80
20.291443082	192.168.56.102	192.168.56.104	1552	80
